document,quotation,codes,comment
1271 [C] Graduate Certificate in Business Analytics.docx,"
The online Business Analytics Graduate Certificate will prepare students to strengthen the decision-making processes through data analysis. This program offers a tight integration of the science and technology underlying business analytics to solve key business problems in the areas of operations management, sales, marketing, finance, and economics. Graduates will have the ability to strengthen their competitive position, achieve operational efficiency and anticipate trends in the marketplace.
",Mission,
1271 [C] Graduate Certificate in Business Analytics.docx,"
Certificate Requirements

BADM 720 - Quantitative Analysis 3 cr hrs

DSCI 723 - Data Management and Warehousing 3 cr hrs

DSCI 724 - Data Mining for Managers 3 cr hrs

DSCI 725 - Data Mining for Competitive Advantage 3 cr hrs

DSCI 726 - Operational Analytics 3 cr hrs
",Courses,
1237 [M] Master of Science in Statistics - Applied Statistics Concentration.docx,"
Required courses and suggested schedule:

1. STAT 540 Regression Analysis

2. STAT 545 ANOVA and Experimental Design

3. STAT 561 Probability and its Applications

4. STAT 553 Statistical Inference
",Courses,
1237 [M] Master of Science in Statistics - Applied Statistics Concentration.docx,"
The goal of the PhD program is for the student to write a dissertation that makes a contribution to statistics research. 
",Mission,
1237 [M] Master of Science in Statistics - Applied Statistics Concentration.docx,"
The degree can vary from one that builds the skills necessary to modify existing methodologies and develop new methods for applied problems, to one that builds a deep knowledge of the mathematics behind current research in statistics.
",Skills,
1263 [B] BA and B.S. Data Science Degree.docx,"
All of the following:

MATH 150: Discrete Mathematics OR MATH 150A: Discrete Math Module

CSC 171: Intro to Computer Science (formerly The Science of Programming)

CSC 172: Data Structures and Algorithms (formerly The Science of Data Structures)

Plus one of the following sequences:

MATH 161: Calculus I and MATH 162: Calculus II

MATH 141: Calculus I, MATH 142: Calculus II, and MATH 143: Calculus III

MATH 171: Calculus I (Honors) and MATH 172: Calculus II (Honors)

Core Courses

All of the following:

CSC 242: Introduction to Artificial Intelligence (fall/spring)

DSCC/CSC 240: Data Mining (fall/spring)

DSCC/CSC 261: Introduction to Databases (formerly Database Systems) (fall/spring)

DSCC 383W: Data Science Capstone(typically spring of senior year but may be taken as early as spring of junior year)

Plus one of the following:

MATH 165: Linear Algebra with Differential Equations (fall/spring)

MATH 173: Calculus III (Honors) (fall)

Plus one of the following:

DSCC/CSC/STAT 262: Computational Introduction to Statistics (fall)

STAT 213: Elements of Probability and Mathematical Statistics (fall)

STAT 212: Applied Statistics for the Biological and Physical Sciences I (fall/spring)

Plus one of the following:

DSCC/CSC 265: Intermediate Statistical and Computational Methods (spring)

Both STAT 216: Applied Statistics II and STAT 226W: Introduction to Linear Models

Plus one of the following:

CSC 282: Design and Analysis of Efficient Algorithms (fall)

DSCC 201: Tools for Data Science (fall/spring)

DSCC 275: Time Series Analysis & Forecasting in Data Science (fall)

Concentration (Application Area) Courses

Student can choose one of the following concentration (application areas):

Biology

Biomedical Signals and Imaging

Brain and cognitive sciences

Computer science, statistics, and mathematics

Earth and environmental science

Linguistics

Physics

Economics and business

Political science

Prerequisites for particular concentration (application area) courses beyond data science major prerequisites may be required. Please check the online course description/course schedule (CDCS).

Biology

One or both of the following:

BIOL 110/112: Principles of Biology I

BIOL 111/113: Principles of Biology II

Plus one or two of the following (for a total of three courses):

BIOL 190: Genetics and the Human Genome

BIOL 198: Principles of Genetics

BIOL 205/205W: Evolution

BIOL 206/206W: Eukaryotic Genomes

BIOL 253/253W: Computational Biology

BIOL 265/265W: Molecular Evolution

Top ↑

Biomedical Signals and Imaging

Both of the following:

BME 101: Introduction to Biomedical Engineering (fall)

BME 210: Biomedical Circuits (spring)

Plus one of the following (for a total of three courses):

BME 230: Biomedical Signals and Systems (fall)

BME 253: Ultrasound Imaging (fall)

BME 274: Biomedical Sensors (spring)

CSC 249: Machine Vision (spring)

Top ↑

Brain and Cognitive Sciences

Any three of the following courses:

BCSC 151: Perception and Action (fall)

BCSC 152: Language and Psycholinguistics (fall)

BCSC 153: Cognition (spring)

BCSC 221: Auditory Perception (spring)

BCSC 229: Computer Models of Human Perception and Cognition (fall)

BCSC 244: Neuroethology (spring)

BCSC 245: Sensory and Motor Neuroscience (spring)

BCSC 248: Neuroeconomics (not offered after Fall 2017)

BCSC 265: Language and the Brain (spring)

BCSC 247, Topics in Computational Neuroscience

Top ↑

Computer Science, Statistics, and Mathematics

Any three of the following courses, not including courses taken to fulfill the supplementary course requirement for the BS:

CSC 229: Computer Models of Human Perception and Cognition (fall)

CSC 246: Machine Learning (spring)

CSC 247: Natural Language Processing (fall)

CSC 248: Statistical Speech and Language Processing (not offered 2018-19)

CSC 249: Machine Vision (spring)

CSC 254: Programming Language and Design Implementation (fall)

CSC 252: Computer Organization (spring)

CSC 253: Dynamic Language and Software Development (fall)

CSC 256: Operating Systems (fall)

CSC 258: Parallel and Distributed Systems (-)

CSC 280: Computer Models and Limitations (spring)

CSC 282: Design and Analysis of Efficient Algorithms (fall)

CSC 298: Deep Learning and Graphical Models (not offered 2018-19)

DSCC 201: Tools for Data Science (fall)

DSCC 210: Digital Imaging: Transforming Real Into Virtual

DSCC 267: Image, Text, and Technology

DSCC 275: Time Series Analysis & Forecasting in Data Science (fall)

MATH 201: Introduction to Probability (fall/spring)

MATH 202: Stochastic Processes (spring)

MATH 203: Introduction to Mathematical Statistics

MATH 208: Operations Research I (fall)

MATH 215: Fractal and Chaotic Dynamics (offered every other fall, next offered in Fall 2019)

MATH 218: Introduction to Mathematical Models in Life Science (spring)

MATH 230: Number Theory with Applications (fall)

MATH 233: Introduction to Cryptography (spring)

STAT 221W: Sampling Techniques

Top ↑

Earth and Environmental Science

One or two of the following:

EESC 101: Introduction to Geological Sciences

EESC 103: Introduction to Environmental Science

EESC 105: Introduction to Climate Change

Plus one or two of the following (for a total of three courses):

EESC 211/211W: Geohazards and Their Mitigation: Living on an Active Planet

EESC 212: A Climate Change Perspective to Chemical Oceanography

EESC 218: Atmospheric Geochemistry(Fall)

EESC 233: Marine Ecosystem and Carbon Cycle Modeling (Spring)

EESC 234: Fundamentals of Atmospheric Modeling (Spring)

EESC 235: Physical Oceanography (Fall)

EESC 236: Physics of Climate (Fall)

EESC 251: Introduction to Remote Sensing and Geographic Information Systems





Top ↑

Linguistics

Required:

LING 110: Introduction to Linguistic Analysis

And one of the following:

LING 210: Introduction to Language Sound Systems

LING 220: Introduction to Grammatical Systems

LING 224: Introduction to Computational Linguistics

LING 225: Introduction to Semantic Analysis

Plus one of the following:

LING 247/CSC 247: Natural Language Processing

LING 248/CSC 248: Statistical Speech and Language Processing

LING 250: Data Science for Linguistics

LING 268: Computational Semantics

LING 281 Statistical and Neural Computational Linguistics



Top ↑

Physics

Any three of the following courses:

MATH 281: Applied Boundary Value Problems (fall)

PHYS 237: Quantum Mechanics of Physical Systems

PHYS 227: Thermodynamics and Statistical Mechanics

PHYS 235W: Classical Mechanics I

PHYS 373: Physics and Finance (offered every other year, next offering Spring 2020)

Top ↑

Economics and Business

Any three of the following courses:

ECON 207: Intermediate Microeconomics (fall/spring/summer)

ECON 209: Intermediate Macroeconomics (fall/spring/summer)

ECON 214: Economic Theory of Organizations (fall/spring) OR ECON 217/217W: Economics of Organizations (fall)

ECON 231W: Econometrics (fall/spring)

ECON 288/288W/PSCI 288: Game Theory (fall/spring)

ACC 201: Financial Accounting (fall/spring)

CIS 220 Business Information Systems and Analytics (fall/apring) (formerly GBA 220)

CIS 240 Data Management & Descriptive Analytics for Business (fall)

CIS 242 Predictive Analytics (spring)

MATH 210: Introduction to Financial Mathematics (fall/spring)

MKT 203: Principles of Marketing (fall/spring)

Top ↑

Political Science

Any three of the following courses:

PSCI 107 Introduction to Positive Theory (spring)

PSCI 200: Applied Data Analysis (fall/spring/summer)

PSCI 205: Data Analysis II (valid beginning spring 2018)

PSCI 248 Discrimination (fall)

PSCI/INTR 270 Mechanisms of International Relations (Not offered next year.)

PSCI 278/INTR 278: Foundations of Modern International Politics (spring)

PSCI 281: Formal Models in Political Science (offered every other year, will not be offered in 2018-19)

PSCI 287 Theories of Political Economy (Not offered next year)

PSCI 288/ECON 288/288W: Game Theory (fall/spring)

Top ↑

Supplementary Courses (Only Required for BS)

Only BS students are required to take supplementary courses.

BS students must take both:

MATH 201: Introduction to Probability (fall/spring)

MATH 203: Introduction to Mathematical Statistics (spring)

BS students must take one of the following:

CSC 244: Knowledge Representation and Reasoning in AI (fall)

CSC 246: Machine Learning (spring)

CSC 247: Natural Language Processing (fall, not offered 2017-18)

CSC 248: Statistical Speech and Language Processing (fall, not offered 2018-19)

CSC 249: Machine Vision (spring)

CSC 252: Computer Organization (spring)

CSC 282: Design and Analysis of Efficient Algorithms (fall)

CSC 298: Deep Learning and Graphical Models (not offered 2017-18 or 2018-19)

DSCC 201: Tools for Data Science (fall)

DSCC 275: Time Series Analysis & Forecasting in Data Science (fall)
",Courses,
1263 [B] BA and B.S. Data Science Degree.docx,"
This research is broken up into three categories:

Health analytics

Artificial intelligence and cognitive science

Methods, tools, and infrastructure
",Impact,
1242 [M] Master’s (PSM) in Data Science and Business Analytics (DSBA).docx,"
DSBA 5122 - Visual Analytics (3)

DSBA 6100 - Big Data Analytics for Competitive Advantage (3)

DSBA 6156 - Applied Machine Learning (3)

DSBA 6160 - Big Data Design, Storage, and Provenance (3)

DSBA 6201 - Business Intelligence and Analytics (3)

DSBA 6211 - Advanced Business Analytics (3)

DSBA 6276 - Consumer Analytics (3)

DSBA 6400 - Internship (3)

Elective Courses (9 credit hours)

Select three from the following. At least one course must be from the list of Data Science Elective Courses and one must be from the list of Business Analytics Elective Courses.

Data Science Elective Courses

DSBA 5121 - Information Visualization (3)

DSBA 5510 - Web Mining (3)

DSBA 6155 - Knowledge-Based Systems (3)

DSBA 6162 - Knowledge Discovery in Databases (3)

DSBA 6165 - Artificial Intelligence and Deep Learning (3)

DSBA 6190 - Cloud Computing for Data Analysis (3)

DSBA 6265 - Advanced Topics in Knowledge Discovery in Databases (3)

DSBA 6345 - Modern Data Science Systems (3)

DSBA 6500 - Complex Adaptive Systems (3)

DSBA 6520 - Network Science (3)

Business Analytics Elective Courses

DSBA 6112 - Graduate Econometrics (3)

DSBA 6122 - Decision Modeling and Analysis via Spreadsheets (3)

DSBA 6207 - Business Project Management (3)

DSBA 6208 - Supply Chain Management (3)

DSBA 6212 - Enterprise Systems (3)

DSBA 6213 - Applied Healthcare Business Analytics (3)

DSBA 6277 - Social Media Marketing and Analytics (3)

DSBA 6278 - Innovation Analytics (3)

Other Elective Courses

DSBA 5110 - Applied Regression Analysis (3)

DSBA 6010 - Special Topics in Data Science and Business Analytics (3)

DSBA 6115 - Statistical Learning with Big Data (3)

DSBA 6170 - Ethics, Privacy, Security and Governance of Big Data (3)

Degree Total = 33 Credit Hours
",Courses,
1242 [M] Master’s (PSM) in Data Science and Business Analytics (DSBA).docx,"
 Interdisciplinary in its approach, PSM's infuse soft skills into the required coursework to produce well-rounded graduates
",Interdisciplinary,
"1276 [M] MBA in Business Administration, Business Analytics Concentration.docx","
The MBA concentration in Business Analytics leverages data to create more efficient business processes and more accurate performance reporting - helping businesses compete globally.
",Mission,
"1276 [M] MBA in Business Administration, Business Analytics Concentration.docx","
Students with a penchant for business analysis, statistics, modeling, or information systems are encourage to consider a concentration in business analytics.
",Target group,
"1276 [M] MBA in Business Administration, Business Analytics Concentration.docx","
Core Courses (27 credits)

Alpha Course: MBA 611 Introduction to Organizational Change
 Accounting (Select one)
 ACC 630 Management Accounting Systems
 MBA 631 Financial Accounting
 Ethical and Legal Issues: MBA 615 Ethical and Legal Issues in Business
 Finance (Select one)
 MBA 623 Financial Engineering
 MBA 625 International Finance (may not double count in International)
 MBA 626 Strategic Valuation
 MBA 627 Investment Management
 MBA 628 Financial Markets and Institutions
 MBA 629 Financial Modeling
 Information Systems: MBA 674 Strategic Management of Technology and Innovation
 International (Select one)
 MBA 612 Topics in International Business
 MBA 625 International Finance
 Marketing: MBA 660 Managerial Marketing
 Operations: MBA 672 Supply Chain Management
 Capstone: MBA 698 Practicum

Electives (nine credits)

MBA 676 Data Management and Analytics
 MBA 677 Information Visualization
 MBA 699 Data Mining
",Courses,
1277 [C] Certificate in Applied Statistics.docx,"
The Department of Mathematics and Statistics offers a certificate program in applied statistics, designed for people in area businesses, industry, government, and education, as well as providing mathematics majors with an opportunity for further recognition of their skills.
",Mission,
1277 [C] Certificate in Applied Statistics.docx,"
The certificate is helpful for students who want to pursue a master's program in statistics but who need additional advanced undergraduate coursework.
",Target group,
1277 [C] Certificate in Applied Statistics.docx,"
Program Requirements

Minimum number of credits required for the certificate: 18

Required courses:
MAT 281 Introduction to Probability
MAT 282 Statistical Inference or equivalent

Four additional courses from the following:
MAT 383 System Modeling and Simulation
MAT 386 Sampling Design and Analysis
MAT 387 Introduction to Applied Biostatistical Methods
MAT 388 Statistical Quality Control
MAT 461 Stochastic Models in Operations Research
MAT 484 Design and Analysis of Experiments
MAT 485 Introduction to Applied Regression
MAT 486 Introduction to Big Data Analytics
MAT 487 Introduction to Categorical Data Analysis
MAT 488 Introduction to Data Mining
",Courses,
1273 [M] Master of Science in Business Analytics.docx,"
The USC Marshall MSBA program is a data science STEM program with a business lens. It is one of the longest running MSBA programs in the nation, and top ranking in the world. The program emphasizes project-based learning in the classroom, so our students acquire deeper business analytics knowledge through active exploration of real-world business challenges and problems. These projects are in collaboration with our industry partners, and cover a range of business areas including finance, operations, marketing, management, supply chain, and HR.
","Industry, Mission",
1273 [M] Master of Science in Business Analytics.docx,"
Programming

Data Cleaning

Data Wrangling

Data Visualization

Web Scrapping

Database Management

Python (Main Language of Study)

R

SQL

NoSQL

Statistics & Machine Learning

Probability Distributions

Inferential Statistics

Supervised Learning Methods (linear regression, logistic regression, lasso, ridge regression, decision trees, LDA, QDA, KNN, PCR, neural networks, random forests, SVM)

Unsupervised Learning Methods (k-means, hierarchical clustering)

Deep learning (CNN, RNN, LSTM, GAN)

Optimization Methods

Simulation Models

Linear

Non-linear

Discrete

Dynamic optimization

Business Specialization

Marketing Analytics

Fraud Analytics

Operations Analytics

Game Analytics

Time-Series Analytics

Healthcare Analytics

Supply Chain Analytics

Pricing Strategies

Text Analytics & Natural Language Processing

Soft Skills

Business Communication

Dashboarding

Consultation

Collaboration

Strategy

Problem Solving

Problem Framing
",Skills,
1273 [M] Master of Science in Business Analytics.docx,"
Sample Schedule

First Semester (Fall)

GSBA 545: Data Driven Decision Making (1.5 units)

DSO 510: Business Analytics (1.5 units)

DSO 545: Statistical Computing and Data Visualization (3 units)

GSBA 542: Communication for Management (1.5 units)

DSO 552: SQL Databases for Business Analysts (1.5 units)

Elective (optional)

Second Semester (Spring)

DSO 530: Applied Modern Statistical Learning Methods (3 units)

DSO 570: The Analytics Edge: Data, Models, and Effective Decisions (3 units)

DSO 553: NoSQL Databases in Big Data (1.5 units)

Elective (3 units)

Third Semester (Fall)

DSO 573*: Data Analytics Driven Dynamic Strategy & Execution (3 units)

Elective (3 units)

Elective (3 units)

Elective (1.5 units)

*DSO 573 can be replaced with DSO 574 (Getting Ready for Big Data), which is offered in the Spring
",Courses,
1274 [D] PhD in Data Sciences  Operations.docx,"
Operations Management studies how firms organize their resources and recurring activities in order to be competitive in cost, price, responsiveness and quality.
",Definition,
1274 [D] PhD in Data Sciences  Operations.docx,"
Year 1

Sample Course Schedule

Fall:

DSO 671: Inventory Models and Supply Chain Management

GSBA 602: Selected Issues in Economic Theory

ISE 631: Linear Programming

Elective (1)

Spring:

ISE 538: Elements of Stochastic Processes (or MATH 505B: Applied Probability)

DSO 677: Dynamic Programming and Markov Decision Processes

ISE 630: Foundations of Optimization

GSBA 604: Regression and Generalized Linear Models for Business

Summer:

BUCO 634: Communication for Doctoral Students: Conference Papers and Presentations

Summer Research Paper

Research Development

Beginning in the first semester, students will apprentice with a faculty mentor to learn research fundamentals. Typically students are assigned to a new mentor each semester in the first year. During the summer following the first year in the program, students are expected to research and complete a Summer Research Paper.

Screening Examination

In addition to the papers and examinations assigned in their first-year courses, a screening process will occur in May at the end of the first year. This process will include a review of each student's grades, an analysis of competence in written communications and a written exam based on the material covered during the first year. The results of the examination help the faculty determine students’ developmental needs and fitness to continue in the program.

Year 2

Sample Course Schedule

Fall:

DSO 670: Current Research in Operations management

3 electives

Spring:

DSO 674: Queuing and Stochastic Networks

ISE 632: Metwork Flows and Combinatorial Optimization

2 electives

Summer:

BUCO 633: Communication for Doctoral Students: Foundations of Academic Writing

BUCO 637: Communication for Doctoral Students: Succeeding as a Teacher

Year 3

Sample Course Schedule

Independent Dissertation Preparation (2)

Research Development

At this stage in the program, the relationships Ph.D. candidates have developed through the research apprentices often lead to collaborative research projects. Ph.D. candidates continue to apprentice faculty with increasing responsibility. They also begin work on their dissertations and are expected to have an approved dissertation proposal before the start of the fourth year.

Teaching Development

Ph.D. candidates begin developing teaching skills by serving as a teaching assistant for one or two classes and engaging in teaching skills workshops.

Qualifying Exam

The examination qualifying a student for candidacy for the Ph.D. degree is partly written and partly oral, designed, at least in part, to test the student’s fitness to undertake independent research. After successful completion of the qualifying exams, the student is admitted to candidacy.

Year 4

Sample Course Schedule

Independent Dissertation Preparation (2)

Research Development

Research is the primary activity in the fourth year and beyond. Faculty view Ph.D. candidates as “junior colleagues” and partner to write and present papers.

Teaching Development

Ph.D. candidates co-teach one course with a faculty member.

Dissertation Defense & Submission

The dissertation is the culminating work of a student’s independent research. In the fourth or fifth year of the program, students complete, defend and submit the dissertation. This is the last step to earn the Ph.D. degree.

Statistic Requirements

Year 1

Sample Course Schedule

Fall:

MATH 541B Introduction to Mathematical Statistics

ISE 630 Foundations of Optimization

MATH 507A Theory of Probability or MATH 505a Applied Probability

1 elective

Spring:

MATH 505b Applied Probability or Math 506 Stochastic Processes

DSO 607 High-Dimensional Statistics and Big Data Problems

GSBA 604 Regression and Generalized Linear Models for Business

MATH 541A Introduction to Mathematical Statistics 1 elective

Summer:

BUCO 634

Summer Research Paper

Research Development

Beginning in the first semester, students will apprentice with a faculty mentor to learn research fundamentals. Typically students are assigned to a new mentor each semester in the first year. In the summer following the first year in the program, students research and complete a Summer Research Paper.

Screening Examination

In addition to the papers and examinations assigned in their first-year courses, a screening process will occur in May at the end of the first year. This process will include a review of each student's grades, an analysis of competence in written communications and a written exam based on the material covered during the first year. The results of the examination help the faculty determine students’ developmental needs and fitness to continue in the program.

Year 2

Sample Course Schedule

Fall:

MATH 541B Introduction to Mathematical Statistics or MATH 547 Methods of Statistical Inference (if already taken 541B)

3 electives (including a graduate level class in a selected business area)

Spring:

DSO 599 Special Topics Class

3 electives

Summer:

BUCO 633: Communication for Doctoral Students: Foundations of Academic Writing

BUCO 637: Communication for Doctoral Students: Succeeding as a Teacher

Year 3

Sample Course Schedule

Independent Dissertation Preparation (2)

Research Development

At this stage in the program, the relationships Ph.D. candidates have developed through the research apprentices often lead to collaborative research projects. Ph.D. candidates continue to apprentice faculty with increasing responsibility. They also begin work on their dissertations.

Teaching Development

Ph.D. candidates begin developing teaching skills by serving as a teaching assistant for one or two classes and engaging in teaching skills workshops.
",Courses,
1274 [D] PhD in Data Sciences  Operations.docx,"
Year 4

Sample Course Schedule

Independent Dissertation Preparation (2)

Research Development

Research is the primary activity in the fourth year and beyond. Faculty view Ph.D. candidates as “junior colleagues” and partner to write and present papers.

Teaching Development

Ph.D. candidates co-teach one course with a faculty member.

Dissertation Defense & Submission
",Courses,
1222 [D] PhD in Biomedical and Health Informatics.docx,"
The Interdisciplinary Ph.D. program at UMKC offers students the opportunity to work across disciplines and develop an individualized academic plan which requires students to be admitted to at least two disciplines (a primary discipline and a co-discipline). In the School of Medicine, both a Primary Discipline and Co-Discipline in Bioinformatics are offered through the Department of Biomedical and Health Informatics.
",Interdisciplinary,
1222 [D] PhD in Biomedical and Health Informatics.docx,"
Biomedical and Health Informatics is the “scientific field that deals with biomedical information, data, and knowledge – their storage, retrieval, and optimal use for problem solving and decision making.
",Definition,
1222 [D] PhD in Biomedical and Health Informatics.docx,"
jobs in:



Health care (health system: clinical leadership and IT leadership)



Biomedical and clinical research, including application of genomics and molecular biology



Consumer health



Public health



Imaging


",Jobs,
1222 [D] PhD in Biomedical and Health Informatics.docx,"
MEDB 5501 & 5502, Biostatistics I & II

6 credit hours of research methodology and research ethics

MEDB 5510, Clinical Research Methodology

MEDB 5561, Responsible Conduct of Research

6 credit hours of Informatics courses (selected from the following)

MEDB 5520, Introduction to Medical Informatics

MEDB 5521, Clinical Bioinformatics

BIOL 5525, Bioinformatics and Data Analysis

COMP-SCI 5566, Introduction to Bioinformatics

Co-Discipline in Bioinformatics

Recommended Curriculum

While the following courses are suggested core components for the Biomedical and Health Informatics co-discipline, students may work with the Discipline Coordinator to create an individualized plan of study.

MEDB 5510, Clinical Research Methodology or MEDB 5512, Clinical Trials

MEDB 5511, Principles and Applications of Epidemiology or

MEDB 5514, Human Genome Epidemiology

MEDB 5521, Clinical Informatics

MEDB 5501 & 5502, Biostatistics I & II
",Courses,
1260 [C] Certificate in Business Analytics.docx,"
BUS 543 – Decision Modeling
BUS 555 – Database Management
BUS 519 – Business Analytics
BUS 552 – Optimization
",Courses,
1260 [C] Certificate in Business Analytics.docx,"


the fundamentals of modeling, optimization, and simulation and use appropriate analytical methods for decision-making under uncertainty, risk, and constraints



organizing organizational data science assets and use databases to create structure and solutions



the fundamentals of data visualization and predictive models and use appropriate descriptive and predictive data science analytics for organizational decision-making and problem-solving


","Impact, Skills",
1281 [M] M.S. in Data Science.docx,"
The M.S. degree in Data Science prepares students to pursue careers in the emerging and high-growth fields of data science and big data. It combines in-depth understanding with hands-on skills, technologies, techniques, and analysis tools for data science.
",Mission,
1281 [M] M.S. in Data Science.docx,"
Graduates of this program will have the theoretical, practical, and comprehensive knowledge to manage and analyze large-scale, complex data to enable efficient data-driven discoveries and decisions.
",Skills,
1281 [M] M.S. in Data Science.docx,"


SEIS 603 Foundations of Software Development - Python (waived for appropriate prior programming experience)



SEIS 610 Software Engineering



SEIS 615 DevOps and Cloud Infrastructure



SEIS 630 Database Management Systems and Design



SEIS 631 Foundations of Data Analysis



SEIS 632 Data Analytics and Visualization



SEIS 732 Data Warehousing and Business Intelligence



SEIS 736 Big Data Engineering



SEIS 737 Big Data Management



SEIS 763 Machine Learning



SEIS 764 Artificial Intelligence


",Courses,
1281 [M] M.S. in Data Science.docx,"
Electives [1 or 2 courses]:

Choose one elective (or two electives if SEIS 603 is waived) from any course listed in the Graduate Programs in Software course catalog.

View SEIS Course Catalog.



Suggested course sequences

Suggested course sequence* with SEIS603 required:

Semester 1: SEIS 603 and SEIS 610 
Semester 2: SEIS 630 and SEIS 631
Semester 3: SEIS 632 and SEIS 763
Semester 4: SEIS 764 and SEIS 615 
Semester 5: SEIS 732 and SEIS 736
Semester 6: SEIS 737 and 1 Elective

Suggested course sequence* with SEIS603 waived:

Semester 1: SEIS 610 and SEIS 631
Semester 2: SEIS 630 and SEIS 632
Semester 3: SEIS 615 and SEIS 763 
Semester 4: SEIS 736 and SEIS 764
Semester 5: SEIS 737 and 1 Elective 
Semester 6: SEIS 732 and 1 Elective
",Courses,
1278 [M] MBA with Concentration in Business Analytics.docx,"
The Master of Business Administration, or MBA, is the most popular educational path for graduate students in the United States. It is popular because of its value in business, industry, non-profit organizations, and public institutions.
",Fluff,
1278 [M] MBA with Concentration in Business Analytics.docx,"
The USF Master of Business Administration (MBA) was recently redesigned to respond to the increasingly competitive, technological and global world of management.
",Mission,
1278 [M] MBA with Concentration in Business Analytics.docx,"
USF provides a quality educational program that fits into the busy lives of adult learners. Students can complete their MBA online or on-site at their own pace while working. Courses run three semesters each year (fall, spring, summer) and a student may enter the program during any semester. The MBA can be completed in as few as 12-18 months.
","Target group, Requirements",
1278 [M] MBA with Concentration in Business Analytics.docx,"


Global and competitive challenges



The value chain of business



Analytical thinking



Leadership and decision making


",Skills,
1278 [M] MBA with Concentration in Business Analytics.docx,"


Faculty-mentors with corporate experience


",Industry,
1278 [M] MBA with Concentration in Business Analytics.docx,"


Based on latest business and industry cases & trends


",Industry,
1278 [M] MBA with Concentration in Business Analytics.docx,"
A key component is experiential learning led by faculty that has both academic credentials and real-world experience. USF students can immediately engage in coursework that’s applicable to their workplace or a specific industry certificate or credential.
",Industry,
1278 [M] MBA with Concentration in Business Analytics.docx,"
USF’s MBA program is designed for students who have:



A bachelor’s degree in business, accounting, economics, or related field from an accredited university



Two years of full-time employment (or military service) in a management position or appropriate inbound business exam score


",Requirements,
1278 [M] MBA with Concentration in Business Analytics.docx,"
The Master of Business Administration requires 36 semester hours.

These hours include:

• MBA Core Courses (12 hours required)

• Competency Area Courses (12 hours required)

• Concentration Courses (12 hours required)

MBA Core Courses (12 semester hours)

MBAD 611 Managerial Economics 3

MBAD 616 Managerial Finance 3

MBAD 621 Managerial Accounting* 3

MBAD 631 Strategic Business Management 3

*Prerequisite- ACCT 124 – Survey of Accounting and Budgeting or consent of instructor.



Competency Area (12 semester hours) Choose four courses from the following:

MBAD 606 Marketing Management 3

MBAD 626 Applied Business Research Methods 3

MBAD 641 Human Resource Management 3

MBAD 646 Ethical, Legal and Social Environment of the Firm 3

MBAD 650 International Business 3

MBAD 651 Management and Organizational Behavior 3

MBAD 658 Operations Management 3

MBAD 659 Information Technology 3

MBAD 660 Macroeconomics in a Global Economy 3

MBAD 661 Social Media 3

MBAD 671 Special Topics 3

MBAD 695 Experiential Learning Project 3

Concentration Courses (12 semester hours)

Choose one of the following concentrations:

Business Analytics (12 credit hours)

MBAD 637 Business Forecasting & Econometrics 3

MBAD 638 Enterprise Resource Computing 3

MBAD 639 Business Intelligence & Analytics 3

MBAD 640 Data Mining 3
",Courses,
1282 [M] MBA with Concentration in Business Analytics.docx,"
Prepare to meet the growing demand for data analysis in business environments with courses focused on databases and data warehouses as well as descriptive, prescriptive and predictive analytics.
",Mission,
